"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49"
"11","1997","7","-2","0","0","1","999","0","18.9468085106383","32.3586956521739","42.5137614678899","51.584","61","66.3272727272727","75","82.0476190476191","86.4","97","96","0","0","0","0","0","0","0","0","0","0","94","92","109","125","120","110","38","21","5","3","2","0","0","0","0","0","0","0","0","0"
"12","1998","7","-2","0","0","1","999","0","16.1785714285714","30.3241379310345","39.3298969072165","50.2978723404255","59.8767123287671","67.3068181818182","71.3617021276596","79.1428571428571","90.3333333333333","0","94","0","0","0","0","0","0","0","0","0","0","56","145","97","94","73","88","47","28","6","0","1","0","0","0","0","0","0","0","0","0"
"13","1999","7","-2","0","0","1","999","0","17.1428571428571","28.9101796407186","39.5538461538462","47.1234567901235","56.9809523809524","65.8831168831169","71.5454545454545","79.3529411764706","80.5","0","88","0","0","0","0","0","0","0","0","0","0","84","167","195","162","105","77","44","17","8","0","1","0","0","0","0","0","0","0","0","0"
"14","2000","7","-2","0","0","1","999","0","16.3839285714286","29.5980392156863","38.0230769230769","48.5294117647059","56.0790960451977","61.609756097561","71.4761904761905","70.6315789473684","80.3333333333333","80.8333333333333","70","0","0","0","0","0","0","0","0","0","0","112","102","130","204","177","82","21","19","6","6","1","0","0","0","0","0","0","0","0","0"
"15","2001","7","-2","0","0","1","999","0","18.2576687116564","30.2884615384615","38.4248366013072","48.0454545454545","55.7822580645161","62.7033898305085","66.6666666666667","75.9333333333333","87","78.25","92.4","91","96","0","0","0","0","0","0","0","0","163","156","153","132","124","118","42","15","6","4","5","1","1","0","0","0","0","0","0","0"
"16","2002","7","-2","0","0","1","999","0","16.6527777777778","28.8692810457516","37.0148514851485","47.5268817204301","56.15","63.5795454545455","69.5714285714286","74.1333333333333","76.5","94.5","0","97","0","0","0","0","0","0","0","0","0","72","153","202","186","80","88","63","15","6","2","0","2","0","0","0","0","0","0","0","0"
"17","2003","7","-2","0","0","1","999","0","17.7668711656442","29.4670050761421","40.738219895288","49.4814814814815","58.3212435233161","66.5038759689922","72.6756756756757","77.3636363636364","82.2941176470588","78","85","0","70","89","0","0","0","0","0","0","0","163","197","191","189","193","129","111","66","17","1","4","0","1","1","0","0","0","0","0","0"
"18","2004","7","-2","0","0","1","999","0","17.468085106383","28.6691729323308","38.6903553299492","49.59375","58.1059602649007","66.5503875968992","71.593220338983","74.96875","83.4117647058823","85.75","83.75","0","0","0","0","0","0","0","0","0","0","141","133","197","128","151","129","59","32","17","4","4","0","0","0","0","0","0","0","0","0"
"19","2005","7","-2","0","0","1","999","0","18.3404255319149","27.3715596330275","39.2100840336134","49.1345029239766","57.0178571428571","64.4383561643836","72.6611570247934","80.4520547945205","84.8965517241379","90.9444444444444","91.1","0","98","96","0","0","0","0","0","0","0","141","218","238","171","112","146","121","73","29","18","10","0","1","1","0","0","0","0","0","0"
"20","2006","7","-2","0","0","1","999","0","16.4146341463415","29.5454545454545","39.2793296089385","47.7738095238095","56.5483870967742","65.2928571428571","74.3609022556391","82.6666666666667","87.75","87.5","95.25","103","0","0","0","0","0","0","0","0","0","205","176","179","168","155","140","133","93","36","10","4","1","0","0","0","0","0","0","0","0"
"21","2007","7","-2","0","0","1","999","0","17.7350746268657","30.9805825242718","41.8376963350785","51.541935483871","61.0331753554502","68.2592592592593","76.4873949579832","83.3466666666667","87.2096774193548","94.3809523809524","92.6666666666667","94.7142857142857","89","98.5","0","0","91","0","0","0","0","268","206","191","155","211","108","119","75","62","21","12","7","3","2","0","0","1","0","0","0"
"22","2008","7","-2","0","0","1","999","0","16.9219858156028","30.0229007633588","42.3811475409836","54.5","62.410447761194","68.0927835051546","76.4888888888889","82.0666666666667","83.9285714285714","89.4615384615385","97.75","97.8333333333333","91.5","0","0","0","0","0","0","0","0","141","262","244","188","134","97","45","45","28","13","8","6","2","0","0","0","0","0","0","0"
"23","2009","7","-2","0","0","1","999","0","17.0045045045045","30.3243243243243","43.1815384615385","54.3743315508021","61.218045112782","68.25","73.7682926829268","78.936170212766","85.0434782608696","89.2307692307692","89.6666666666667","96","84.3333333333333","92","0","0","0","0","0","0","0","222","259","325","187","133","100","82","47","23","13","12","4","3","2","0","0","0","0","0","0"
"24","2010","7","-2","0","0","1","999","0","15.8382352941176","30.4453333333333","43.1324786324786","55.1610738255034","63.0872483221477","70.1176470588235","74.8636363636364","80.8767123287671","83.2","87.7","89","86","93","0","0","0","0","0","0","0","0","136","375","234","298","149","85","66","73","30","10","9","1","1","0","0","0","0","0","0","0"
"25","2011","7","-2","0","0","1","999","0","18.7258064516129","31.9256756756757","44.3396825396825","54.9719101123596","64.348623853211","70.3364485981308","75.25","79.45","84.3333333333333","87.6363636363636","86.375","87","95.5","101.2","0","0","0","0","0","0","0","186","148","315","178","218","107","40","20","12","11","8","1","4","5","0","0","0","0","0","0"
"26","2012","7","-2","0","0","1","999","0","16.9509202453988","31.7647058823529","43.4923076923077","53.7394366197183","64.5155279503106","71.1523178807947","75.8181818181818","83.8333333333333","84","93","98","93.5","98","100","0","0","0","0","0","0","0","163","289","130","284","161","151","55","30","20","11","3","2","1","1","0","0","0","0","0","0"
"27","2013","7","-2","0","0","1","999","0","15.609022556391","29.7162629757785","43.4962121212121","51.9122807017544","63.4154411764706","69.4233128834356","79.0740740740741","80.12","87.1","90.6666666666667","88.25","99","92","0","0","0","0","0","0","0","0","133","289","264","171","272","163","81","25","10","3","4","2","1","0","0","0","0","0","0","0"
"28","2014","7","-2","0","0","1","999","0","18.9071038251366","32.1255411255411","43.9804560260586","53.9733333333333","64.2164179104478","70.8433734939759","75.4736842105263","84.2173913043478","85.5555555555556","86","0","94.5","0","0","0","0","0","0","0","0","0","183","231","307","300","134","166","57","23","9","8","0","2","0","0","0","0","0","0","0","0"
"29","2015","7","-2","0","0","1","999","0","20.8785714285714","34.6256684491979","45.562893081761","55.7565789473684","63.8466898954704","72.7435897435897","78.4555555555555","84.1666666666667","92.8333333333333","94","100","86","103","0","0","0","0","0","0","0","0","140","374","318","456","287","117","90","24","6","3","2","1","1","0","0","0","0","0","0","0"
"30","2016","7","-2","0","0","1","999","0","22.0121951219512","34.8811188811189","45.6962365591398","53.4937106918239","64.1271186440678","70.6134969325153","79.0952380952381","86.2307692307692","88.0833333333333","97.2","95","0","0","0","0","0","0","0","0","0","0","164","143","372","318","354","163","63","26","12","5","4","0","0","0","0","0","0","0","0","0"
"31","2017","7","-2","0","0","1","999","0","21.5798319327731","35.4300518134715","47.1666666666667","56.3078393881453","63.9798270893372","72.4545454545455","76.2432432432432","87","81","0","94","0","88","0","0","0","0","0","0","0","0","119","193","228","523","347","242","74","10","6","0","1","0","1","0","0","0","0","0","0","0"
"32","2018","7","-2","0","0","1","999","0","23.4","35.5795454545455","44.7462686567164","56.4018264840183","65.0266075388027","72.92","81.4520547945205","87.5454545454545","80","99","0","0","0","0","0","0","0","0","0","0","0","50","88","268","219","451","175","73","11","3","1","0","0","0","0","0","0","0","0","0","0"
"33","2019","7","-2","0","0","1","999","0","22.4626334519573","40.5392156862745","51.2798507462687","58.1903225806452","66.0476190476191","72.3701492537313","77.5177304964539","87.5769230769231","87.25","87","0","76","0","0","0","0","0","0","0","0","0","281","204","268","310","252","335","141","26","4","2","0","1","0","0","0","0","0","0","0","0"
"34","2021","7","-2","0","0","1","999","0","22.3712574850299","37.7654320987654","47.1819887429644","53.2486338797814","65.0909090909091","71.5541401273885","79.7777777777778","83.12","87.5833333333333","95","0","83","0","0","0","0","0","0","0","0","0","167","162","533","366","198","157","108","50","12","2","0","1","0","0","0","0","0","0","0","0"
"35","2022","7","-2","0","0","1","999","0","18.6969696969697","39.237037037037","50.5046728971963","56.9771428571429","63.2","74.7428571428571","80.3636363636364","88","90.2222222222222","79","0","0","0","0","0","0","0","0","0","0","0","66","135","107","175","110","35","22","20","9","1","0","0","0","0","0","0","0","0","0","0"
"36","1993","7","-2","0","0","-1","999","0","0.041801724137931","0.220179104477612","0.484178947368421","1.04756666666667","1.74270588235294","2.89025","4.12857142857143","6.56818181818182","7.75181818181818","8","8.25","9.97333333333333","0","11.5","0","0","0","0","0","0","0","116","67","95","90","102","44","14","11","11","5","2","3","0","1","0","0","0","0","0","0"
"37","1998","7","-2","0","0","-1","999","0","0.0393703703703704","0.296931034482759","0.775913043478261","1.49272340425532","2.70345","4.05795744680851","5.11947826086957","7.17605882352941","9.685","0","11.025","0","0","0","0","0","0","0","0","0","0","27","58","46","47","40","47","23","17","4","0","1","0","0","0","0","0","0","0","0","0"
"38","1999","7","-2","0","0","-1","999","0","0.0423827160493827","0.224265432098765","0.63663829787234","1.10405161290323","2.09338","3.40485714285714","4.40655813953488","6.551625","6.833875","0","9.65","0","0","0","0","0","0","0","0","0","0","81","162","188","155","100","70","43","16","8","0","1","0","0","0","0","0","0","0","0","0"
"39","2000","7","-2","0","0","-1","999","0","0.0386126126126126","0.25406","0.604569230769231","1.29047524752475","2.11797142857143","2.852","4.27428571428571","4.32394736842105","6.5975","6.61633333333333","3.142","0","0","0","0","0","0","0","0","0","0","111","100","130","202","175","82","21","19","6","6","1","0","0","0","0","0","0","0","0","0"
"40","2001","7","-2","0","0","-1","999","0","0.0580736196319018","0.283393548387097","0.599908496732026","1.213","1.98528455284553","2.90976923076923","3.55647619047619","5.44353333333333","8.24783333333333","5.8775","11.169","10.5","10.945","0","0","0","0","0","0","0","0","163","155","153","132","123","117","42","15","6","4","5","1","1","0","0","0","0","0","0","0"
"41","2002","7","-2","0","0","-1","999","0.012","0.0427777777777778","0.235777777777778","0.529592039800995","1.15901075268817","2.0442","3.06183908045977","4.35101639344262","5.16942857142857","5.89016666666667","10.2075","0","12.83","0","0","0","0","0","0","0","0","1","72","153","201","186","80","87","61","14","6","2","0","1","0","0","0","0","0","0","0","0"
"42","2003","7","-2","0","0","-1","999","0","0.054361963190184","0.280223350253807","0.739513089005236","1.34419576719577","2.40426178010471","3.70193023255814","5.09379090909091","6.31009090909091","7.15370588235294","6.025","8.0425","0","4.364","11.49","0","0","0","0","0","0","0","163","197","191","189","191","129","110","66","17","1","4","0","1","1","0","0","0","0","0","0"
"43","2004","7","-2","0","0","-1","999","0","0.0505815602836879","0.239872180451128","0.618502538071066","1.3245390625","2.3109","3.71640310077519","4.75671186440678","5.4335","7.80452941176471","9.32875","7.5325","0","0","0","0","0","0","0","0","0","0","141","133","197","128","150","129","59","32","17","4","4","0","0","0","0","0","0","0","0","0"
"44","2005","7","-2","0","0","-1","999","0","0.0570780141843972","0.205623853211009","0.641932773109244","1.28740350877193","2.10842857142857","3.17528082191781","4.91725833333333","6.81002739726027","8.18179310344828","10.3825","10.0045","0","13","13.35","0","0","0","0","0","0","0","141","218","238","171","112","146","120","73","29","18","10","0","1","1","0","0","0","0","0","0"
"45","2006","7","-2","0","0","-1","999","0","0.0421853658536585","0.261892045454545","0.623754189944134","1.17860714285714","2.03127741935484","3.19172857142857","5.11888721804511","7.15469892473118","8.8145","8.8976","10.4675","15.6","0","0","0","0","0","0","0","0","0","205","176","179","168","155","140","133","93","36","10","4","1","0","0","0","0","0","0","0","0"
"46","2007","7","-2","0","0","-1","999","0","0.0546865079365079","0.302118226600985","0.780169312169312","1.54065584415584","2.69875845410628","3.91839423076923","5.61532773109244","7.51849333333333","9.0928064516129","10.6959523809524","10.99875","10.6321428571429","8.77033333333333","11.84","0","0","9.235","0","0","0","0","252","203","189","154","207","104","119","75","62","21","12","7","3","2","0","0","1","0","0","0"
"47","2008","7","-2","0","0","-1","999","0","0.0470921985815603","0.270442748091603","0.810795081967213","1.8333829787234","2.83728358208955","3.77857731958763","5.58906666666667","6.92168888888889","7.55617857142857","9.30407692307692","12.07375","10.2816666666667","9.7375","0","0","0","0","0","0","0","0","141","262","244","188","134","97","45","45","28","13","8","6","2","0","0","0","0","0","0","0"
"48","2009","7","-2","0","0","-1","999","0","0.0444144144144144","0.272610038610039","0.863476923076923","1.79693548387097","2.65374436090226","3.66114","4.77238271604938","5.83440425531915","7.58595652173913","8.82884615384615","8.73841666666667","10.67875","7.05533333333333","10.185","0","0","0","0","0","0","0","222","259","325","186","133","100","81","47","23","13","12","4","3","2","0","0","0","0","0","0"
"49","2010","7","-2","0","0","-1","999","0","0.0384705882352941","0.292173333333333","0.864495726495726","1.92515100671141","2.88936241610738","3.99111904761905","5.15307575757576","6.7671095890411","7.38803333333333","8.4713","8.88866666666667","6.49","8.905","0","0","0","0","0","0","0","0","136","375","234","298","149","84","66","73","30","10","9","1","1","0","0","0","0","0","0","0"
"50","2011","7","-2","0","0","-1","999","0","0.0615675675675676","0.326918918918919","0.958765079365079","1.88383146067416","3.14484862385321","4.09865420560748","5.109725","6.50375","7.52691666666667","8.40590909090909","8.378375","9.275","10.59","12.652","0","0","0","0","0","0","0","185","148","315","178","218","107","40","20","12","11","8","1","4","5","0","0","0","0","0","0"
"51","2012","7","-2","0","0","-1","999","0","0.0436234567901235","0.319352941176471","0.844108527131783","1.73684154929577","3.00204968944099","4.14633333333333","4.98223636363636","7.32483333333333","7.2354","10.1772727272727","9.52833333333333","10.3425","10.49","12.98","0","0","0","0","0","0","0","162","289","129","284","161","150","55","30","20","11","3","2","1","1","0","0","0","0","0","0"
"52","2013","7","-2","0","0","-1","999","0","0.0346015037593985","0.26480276816609","0.887772727272727","1.54827485380117","2.97561254612546","4.0041226993865","6.11603703703704","6.51752","8.3968","9.25166666666667","9.039","14.275","11.24","0","0","0","0","0","0","0","0","133","289","264","171","271","163","81","25","10","3","4","2","1","0","0","0","0","0","0","0"
"53","2014","7","-2","0","0","-1","999","0","0.0610983606557377","0.33451948051948","0.925934853420195","1.80630666666667","3.07611940298507","4.214","5.11036842105263","7.24139130434783","7.39577777777778","8.01225","0","10.4975","0","0","0","0","0","0","0","0","0","183","231","307","300","134","166","57","23","9","8","0","2","0","0","0","0","0","0","0","0"
"54","2015","7","-2","0","0","-1","999","0","0.0876071428571429","0.41751871657754","0.990709779179811","1.86608571428571","2.90468989547038","4.36516239316239","5.78574444444444","7.33675","10.6041666666667","9.69333333333333","10.9275","7.335","16.8","0","0","0","0","0","0","0","0","140","374","317","455","287","117","90","24","6","3","2","1","1","0","0","0","0","0","0","0"
"55","2016","7","-2","0","0","-1","999","0","0.110713414634146","0.448517482517483","1.04095967741935","1.69425471698113","3.04799717514124","4.22115950920245","6.21130158730159","8.10730769230769","8.62183333333333","11.454","10.26","0","0","0","0","0","0","0","0","0","0","164","143","372","318","354","163","63","26","12","5","4","0","0","0","0","0","0","0","0","0"
"56","2017","7","-2","0","0","-1","999","0","0.0991680672268908","0.465056994818653","1.11953947368421","1.97597514340344","3.02001152737752","4.5937479338843","5.51274324324324","8.8061","6.1895","0","10.4","0","8.7","0","0","0","0","0","0","0","0","119","193","228","523","347","242","74","10","6","0","1","0","1","0","0","0","0","0","0","0"
"57","2018","7","-2","0","0","-1","999","0","0.12076","0.457613636363636","0.976283582089552","2.04067123287671","3.2179733924612","4.66008571428571","6.62298630136986","8.44681818181818","6.12366666666667","12.44","0","0","0","0","0","0","0","0","0","0","0","50","88","268","219","451","175","73","11","3","1","0","0","0","0","0","0","0","0","0","0"
"58","2019","7","-2","0","0","-1","999","0","0.115220640569395","0.717921568627451","1.51263432835821","2.28490938511327","3.38610714285714","4.54850746268657","5.83884397163121","8.425","8.2475","6.7625","0","4.92","0","0","0","0","0","0","0","0","0","281","204","268","309","252","335","141","26","4","2","0","1","0","0","0","0","0","0","0","0"
"59","2021","7","-2","0","0","-1","999","0.005","0.104305389221557","0.566950617283951","1.14827767354597","1.72925956284153","3.2945202020202","4.35863461538462","6.18639814814815","7.27898","8.36183333333333","10.175","0","5.99","0","0","0","0","0","0","0","0","1","167","162","533","366","198","156","108","50","12","2","0","1","0","0","0","0","0","0","0","0"
"60","2022","7","-2","0","0","-1","999","0","0.0589090909090909","0.628466666666667","1.42492523364486","2.06844571428571","2.96869090909091","5.18451428571429","6.60290909090909","8.89175","9.545","5.77","0","0","0","0","0","0","0","0","0","0","0","66","135","107","175","110","35","22","20","9","1","0","0","0","0","0","0","0","0","0","0"
