###
console output
2023-03-14 09:02:49
###
 
 reading from starter.ss
 reading from data file
Data read sucessful 999

 reading forecast file 
 reading from control file
End of control file successful! 999
Begin setting up parameters ...  read parm file
3 109 -log(L): 3154.22  Spbio: 99243.8 676816
3 110 -log(L): 3154.22  Spbio: 99243.8 676816
3 111 -log(L): 3154.22  Spbio: 99243.8 676816
3 112 -log(L): 3154.22  Spbio: 99243.7 676816
3 113 -log(L): 3154.22  Spbio: 99243.8 676816
3 114 -log(L): 3154.22  Spbio: 99243.7 676816
3 115 -log(L): 3154.22  Spbio: 99243.9 676816
3 116 -log(L): 3154.22  Spbio: 99243.6 676816
3 117 -log(L): 3154.22  Spbio: 99243.8 676816
3 118 -log(L): 3154.22  Spbio: 99243.7 676816
3 119 -log(L): 3154.22  Spbio: 99244 676816
3 120 -log(L): 3154.22  Spbio: 99243.6 676816
3 121 -log(L): 3154.22  Spbio: 99243.8 676816
3 122 -log(L): 3154.22  Spbio: 99243.7 676816
3 123 -log(L): 3154.22  Spbio: 99244.1 676816
3 124 -log(L): 3154.22  Spbio: 99243.4 676816
3 125 -log(L): 3154.22  Spbio: 99243.8 676816
3 126 -log(L): 3154.22  Spbio: 99243.7 676816
3 127 -log(L): 3154.22  Spbio: 99244.3 676816
3 128 -log(L): 3154.22  Spbio: 99243.2 676816
3 129 -log(L): 3154.22  Spbio: 99243.8 676816
3 130 -log(L): 3154.22  Spbio: 99243.7 676816
3 131 -log(L): 3154.22  Spbio: 99244.6 676816
3 132 -log(L): 3154.22  Spbio: 99242.9 676816
3 133 -log(L): 3154.22  Spbio: 99243.8 676816
3 134 -log(L): 3154.22  Spbio: 99243.7 676816
3 135 -log(L): 3154.22  Spbio: 99244.9 676816
3 136 -log(L): 3154.22  Spbio: 99242.6 676816
3 137 -log(L): 3154.22  Spbio: 99243.9 676816
3 138 -log(L): 3154.22  Spbio: 99243.6 676816
3 139 -log(L): 3154.22  Spbio: 99245.2 676816
3 140 -log(L): 3154.22  Spbio: 99242.3 676816
3 141 -log(L): 3154.22  Spbio: 99243.9 676816
3 142 -log(L): 3154.22  Spbio: 99243.6 676816
3 143 -log(L): 3154.22  Spbio: 99245.3 676816
3 144 -log(L): 3154.22  Spbio: 99242.2 676816
3 145 -log(L): 3154.22  Spbio: 99243.9 676816
3 146 -log(L): 3154.22  Spbio: 99243.6 676816
3 147 -log(L): 3154.22  Spbio: 99245 676816
3 148 -log(L): 3154.22  Spbio: 99242.5 676816
3 149 -log(L): 3154.22  Spbio: 99243.9 676816
3 150 -log(L): 3154.22  Spbio: 99243.6 676816
3 151 -log(L): 3154.22  Spbio: 99243.9 676816
3 152 -log(L): 3154.22  Spbio: 99243.6 676816
3 153 -log(L): 3154.22  Spbio: 99243.8 676816
3 154 -log(L): 3154.22  Spbio: 99243.7 676816
3 155 -log(L): 3154.22  Spbio: 99243.8 676816
3 156 -log(L): 3154.22  Spbio: 99243.7 676816
3 157 -log(L): 3154.22  Spbio: 99243.8 676816
3 158 -log(L): 3154.22  Spbio: 99243.8 676816
3 159 -log(L): 3154.22  Spbio: 99243.8 676816
3 160 -log(L): 3154.22  Spbio: 99243.8 676816
3 161 -log(L): 3154.22  Spbio: 99243.8 676816
3 162 -log(L): 3154.22  Spbio: 99243.8 676816
3 163 -log(L): 3154.22  Spbio: 99243.8 676814
3 164 -log(L): 3154.22  Spbio: 99243.8 676818
3 165 -log(L): 3154.22  Spbio: 99243.8 676816
3 166 -log(L): 3154.22  Spbio: 99243.8 676816
3 167 -log(L): 3154.22  Spbio: 99243.8 676814
3 168 -log(L): 3154.22  Spbio: 99243.8 676818
3 169 -log(L): 3154.22  Spbio: 99243.8 676816
3 170 -log(L): 3154.22  Spbio: 99243.8 676816
3 171 -log(L): 3154.22  Spbio: 99243.8 676814
3 172 -log(L): 3154.22  Spbio: 99243.8 676818
3 173 -log(L): 3154.22  Spbio: 99243.8 676816
3 174 -log(L): 3154.22  Spbio: 99243.8 676816
3 175 -log(L): 3154.22  Spbio: 99243.8 676814
3 176 -log(L): 3154.22  Spbio: 99243.8 676818
3 177 -log(L): 3154.22  Spbio: 99243.8 676816
3 178 -log(L): 3154.22  Spbio: 99243.8 676816
3 179 -log(L): 3154.22  Spbio: 99243.8 676814
3 180 -log(L): 3154.22  Spbio: 99243.8 676818
3 181 -log(L): 3154.22  Spbio: 99243.8 676816
3 182 -log(L): 3154.22  Spbio: 99243.8 676816
3 183 -log(L): 3154.22  Spbio: 99243.8 676814
3 184 -log(L): 3154.22  Spbio: 99243.8 676818
3 185 -log(L): 3154.22  Spbio: 99243.8 676816
3 186 -log(L): 3154.22  Spbio: 99243.8 676816
3 187 -log(L): 3154.22  Spbio: 99243.8 676814
3 188 -log(L): 3154.22  Spbio: 99243.8 676818
3 189 -log(L): 3154.22  Spbio: 99243.8 676816
3 190 -log(L): 3154.22  Spbio: 99243.8 676816
3 191 -log(L): 3154.22  Spbio: 99243.8 676814
3 192 -log(L): 3154.22  Spbio: 99243.8 676818
3 193 -log(L): 3154.22  Spbio: 99243.8 676816
3 194 -log(L): 3154.22  Spbio: 99243.8 676816
3 195 -log(L): 3154.22  Spbio: 99243.8 676814
3 196 -log(L): 3154.22  Spbio: 99243.8 676818
3 197 -log(L): 3154.22  Spbio: 99243.8 676816
3 198 -log(L): 3154.22  Spbio: 99243.8 676816
3 199 -log(L): 3154.22  Spbio: 99243.8 676814
3 200 -log(L): 3154.22  Spbio: 99243.8 676818
3 201 -log(L): 3154.22  Spbio: 99243.8 676816
3 202 -log(L): 3154.22  Spbio: 99243.8 676816
3 203 -log(L): 3154.22  Spbio: 99243.8 676814
3 204 -log(L): 3154.22  Spbio: 99243.8 676818
3 205 -log(L): 3154.22  Spbio: 99243.8 676816
3 206 -log(L): 3154.22  Spbio: 99243.8 676816
3 207 -log(L): 3154.22  Spbio: 99243.8 676814
3 208 -log(L): 3154.22  Spbio: 99243.8 676818
3 209 -log(L): 3154.22  Spbio: 99243.8 676816
3 210 -log(L): 3154.22  Spbio: 99243.8 676816
3 211 -log(L): 3154.22  Spbio: 99243.8 676814
3 212 -log(L): 3154.22  Spbio: 99243.8 676818
3 213 -log(L): 3154.22  Spbio: 99243.8 676816
3 214 -log(L): 3154.22  Spbio: 99243.8 676816
3 215 -log(L): 3154.22  Spbio: 99243.8 676814
3 216 -log(L): 3154.22  Spbio: 99243.8 676818
3 217 -log(L): 3154.22  Spbio: 99243.8 676816
3 218 -log(L): 3154.22  Spbio: 99243.8 676816
3 219 -log(L): 3154.22  Spbio: 99243.8 676814
3 220 -log(L): 3154.22  Spbio: 99243.8 676818
3 221 -log(L): 3154.22  Spbio: 99243.8 676816
3 222 -log(L): 3154.22  Spbio: 99243.8 676816
3 223 -log(L): 3154.22  Spbio: 99243.8 676814
3 224 -log(L): 3154.22  Spbio: 99243.8 676818
3 225 -log(L): 3154.22  Spbio: 99243.8 676816
3 226 -log(L): 3154.22  Spbio: 99243.8 676816
3 227 -log(L): 3154.22  Spbio: 99243.8 676814
3 228 -log(L): 3154.22  Spbio: 99243.8 676818
3 229 -log(L): 3154.22  Spbio: 99243.8 676816
3 230 -log(L): 3154.22  Spbio: 99243.8 676816
3 231 -log(L): 3154.22  Spbio: 99243.8 676814
3 232 -log(L): 3154.22  Spbio: 99243.8 676818
3 233 -log(L): 3154.22  Spbio: 99243.8 676816
3 234 -log(L): 3154.22  Spbio: 99243.8 676816
3 235 -log(L): 3154.22  Spbio: 99243.8 676814
3 236 -log(L): 3154.22  Spbio: 99243.8 676818
3 237 -log(L): 3154.22  Spbio: 99243.8 676816
3 238 -log(L): 3154.22  Spbio: 99243.8 676816
3 239 -log(L): 3154.22  Spbio: 99243.8 676814
3 240 -log(L): 3154.22  Spbio: 99243.8 676818
3 241 -log(L): 3154.22  Spbio: 99243.8 676816
3 242 -log(L): 3154.22  Spbio: 99243.8 676816
3 243 -log(L): 3154.22  Spbio: 99243.8 676814
3 244 -log(L): 3154.22  Spbio: 99243.8 676818
3 245 -log(L): 3154.22  Spbio: 99243.8 676816
3 246 -log(L): 3154.22  Spbio: 99243.8 676816
3 247 -log(L): 3154.22  Spbio: 99243.8 676814
3 248 -log(L): 3154.22  Spbio: 99243.8 676818
3 249 -log(L): 3154.22  Spbio: 99243.8 676816
3 250 -log(L): 3154.22  Spbio: 99243.8 676816
3 251 -log(L): 3154.22  Spbio: 99243.8 676814
3 252 -log(L): 3154.22  Spbio: 99243.8 676818
3 253 -log(L): 3154.22  Spbio: 99243.8 676816
3 254 -log(L): 3154.22  Spbio: 99243.8 676816
3 255 -log(L): 3154.22  Spbio: 99243.8 676814
3 256 -log(L): 3154.22  Spbio: 99243.8 676818
3 257 -log(L): 3154.22  Spbio: 99243.8 676816
3 258 -log(L): 3154.22  Spbio: 99243.8 676816
3 259 -log(L): 3154.22  Spbio: 99243.8 676814
3 260 -log(L): 3154.22  Spbio: 99243.8 676818
3 261 -log(L): 3154.22  Spbio: 99243.8 676816
3 262 -log(L): 3154.22  Spbio: 99243.8 676816
3 263 -log(L): 3154.22  Spbio: 99243.8 676814
3 264 -log(L): 3154.22  Spbio: 99243.8 676818
3 265 -log(L): 3154.22  Spbio: 99243.8 676816
3 266 -log(L): 3154.22  Spbio: 99243.8 676816
3 267 -log(L): 3154.22  Spbio: 99243.8 676814
3 268 -log(L): 3154.22  Spbio: 99243.8 676818
3 269 -log(L): 3154.22  Spbio: 99243.8 676816
3 270 -log(L): 3154.22  Spbio: 99243.8 676816
3 271 -log(L): 3154.22  Spbio: 99243.8 676814
3 272 -log(L): 3154.22  Spbio: 99243.8 676818
3 273 -log(L): 3154.22  Spbio: 99243.8 676816
3 274 -log(L): 3154.22  Spbio: 99243.8 676816
3 275 -log(L): 3154.22  Spbio: 99243.8 676814
3 276 -log(L): 3154.22  Spbio: 99243.8 676818
3 277 -log(L): 3154.22  Spbio: 99243.8 676816
3 278 -log(L): 3154.22  Spbio: 99243.8 676816
3 279 -log(L): 3154.22  Spbio: 99243.8 676815
3 280 -log(L): 3154.22  Spbio: 99243.8 676817
3 281 -log(L): 3154.22  Spbio: 99243.8 676816
3 282 -log(L): 3154.22  Spbio: 99243.8 676816
20%3 283 -log(L): 3154.22  Spbio: 99243.8 676815
3 284 -log(L): 3154.22  Spbio: 99243.8 676817
3 285 -log(L): 3154.22  Spbio: 99243.8 676816
3 286 -log(L): 3154.22  Spbio: 99243.8 676816
3 287 -log(L): 3154.22  Spbio: 99243.8 676819
3 288 -log(L): 3154.22  Spbio: 99243.8 676813
3 289 -log(L): 3154.22  Spbio: 99243.8 676816
3 290 -log(L): 3154.22  Spbio: 99243.8 676816
3 291 -log(L): 3154.22  Spbio: 99243.8 676815
3 292 -log(L): 3154.22  Spbio: 99243.8 676817
3 293 -log(L): 3154.22  Spbio: 99243.8 676816
3 294 -log(L): 3154.22  Spbio: 99243.8 676816
3 295 -log(L): 3154.22  Spbio: 99243.8 676820
3 296 -log(L): 3154.22  Spbio: 99243.8 676812
3 297 -log(L): 3154.22  Spbio: 99243.8 676816
3 298 -log(L): 3154.22  Spbio: 99243.8 676816
3 299 -log(L): 3154.22  Spbio: 99243.8 676822
3 300 -log(L): 3154.22  Spbio: 99243.8 676810
3 301 -log(L): 3154.22  Spbio: 99243.8 676817
3 302 -log(L): 3154.22  Spbio: 99243.8 676815
3 303 -log(L): 3154.22  Spbio: 99243.8 676819
3 304 -log(L): 3154.22  Spbio: 99243.8 676813
3 305 -log(L): 3154.22  Spbio: 99243.8 676816
3 306 -log(L): 3154.22  Spbio: 99243.8 676816
3 307 -log(L): 3154.22  Spbio: 99243.8 676836
3 308 -log(L): 3154.22  Spbio: 99243.8 676797
3 309 -log(L): 3154.22  Spbio: 99243.8 676818
3 310 -log(L): 3154.22  Spbio: 99243.8 676814
3 311 -log(L): 3154.22  Spbio: 99243.8 676817
3 312 -log(L): 3154.22  Spbio: 99243.8 676815
3 313 -log(L): 3154.22  Spbio: 99243.8 676816
3 314 -log(L): 3154.22  Spbio: 99243.8 676816
3 315 -log(L): 3154.22  Spbio: 99243.8 676824
3 316 -log(L): 3154.22  Spbio: 99243.8 676808
3 317 -log(L): 3154.22  Spbio: 99243.8 676817
3 318 -log(L): 3154.22  Spbio: 99243.8 676815
3 319 -log(L): 3154.22  Spbio: 99243.8 676821
3 320 -log(L): 3154.22  Spbio: 99243.8 676811
3 321 -log(L): 3154.22  Spbio: 99243.8 676816
3 322 -log(L): 3154.22  Spbio: 99243.8 676816
3 323 -log(L): 3154.22  Spbio: 99243.8 676818
3 324 -log(L): 3154.22  Spbio: 99243.8 676814
3 325 -log(L): 3154.22  Spbio: 99243.8 676816
3 326 -log(L): 3154.22  Spbio: 99243.8 676816
3 327 -log(L): 3154.22  Spbio: 99243.8 676828
3 328 -log(L): 3154.22  Spbio: 99243.8 676804
3 329 -log(L): 3154.22  Spbio: 99243.8 676817
3 330 -log(L): 3154.22  Spbio: 99243.8 676815
3 331 -log(L): 3154.22  Spbio: 99243.8 676814
3 332 -log(L): 3154.22  Spbio: 99243.8 676818
3 333 -log(L): 3154.22  Spbio: 99243.8 676816
3 334 -log(L): 3154.22  Spbio: 99243.8 676816
3 335 -log(L): 3154.22  Spbio: 99243.8 676814
3 336 -log(L): 3154.22  Spbio: 99243.8 676818
3 337 -log(L): 3154.22  Spbio: 99243.8 676816
3 338 -log(L): 3154.22  Spbio: 99243.8 676816
3 339 -log(L): 3154.22  Spbio: 99242.7 676816
3 340 -log(L): 3154.22  Spbio: 99244.8 676816
3 341 -log(L): 3154.22  Spbio: 99243.6 676816
3 342 -log(L): 3154.22  Spbio: 99243.9 676816
3 343 -log(L): 3154.22  Spbio: 99243.8 676816
3 344 -log(L): 3154.22  Spbio: 99243.8 676816
3 345 -log(L): 3154.22  Spbio: 99243.8 676816
3 346 -log(L): 3154.22  Spbio: 99243.8 676816
3 347 -log(L): 3154.22  Spbio: 99245.3 676819
3 348 -log(L): 3154.22  Spbio: 99242.2 676813
3 349 -log(L): 3154.22  Spbio: 99243.9 676816
3 350 -log(L): 3154.22  Spbio: 99243.6 676816
3 351 -log(L): 3154.22  Spbio: 99243.8 676816
3 352 -log(L): 3154.22  Spbio: 99243.8 676816
3 353 -log(L): 3154.22  Spbio: 99243.8 676816
3 354 -log(L): 3154.22  Spbio: 99243.8 676816
3 355 -log(L): 3154.22  Spbio: 99241.6 676811
3 356 -log(L): 3154.22  Spbio: 99245.9 676821
3 357 -log(L): 3154.22  Spbio: 99243.5 676816
3 358 -log(L): 3154.22  Spbio: 99244 676817
3 359 -log(L): 3154.22  Spbio: 99243.8 676816
3 360 -log(L): 3154.22  Spbio: 99243.8 676816
3 361 -log(L): 3154.22  Spbio: 99243.8 676816
3 362 -log(L): 3154.22  Spbio: 99243.8 676816
3 363 -log(L): 3154.22  Spbio: 99243.8 676816
3 364 -log(L): 3154.22  Spbio: 99243.8 676816
3 365 -log(L): 3154.22  Spbio: 99243.8 676816
3 366 -log(L): 3154.22  Spbio: 99243.8 676816
3 367 -log(L): 3154.22  Spbio: 99243.8 676816
3 368 -log(L): 3154.22  Spbio: 99243.8 676816
3 369 -log(L): 3154.22  Spbio: 99243.8 676816
3 370 -log(L): 3154.22  Spbio: 99243.8 676816
3 371 -log(L): 3154.22  Spbio: 99243.8 676816
3 372 -log(L): 3154.22  Spbio: 99243.8 676816
3 373 -log(L): 3154.22  Spbio: 99243.8 676816
3 374 -log(L): 3154.22  Spbio: 99243.8 676816
3 375 -log(L): 3154.22  Spbio: 99243.8 676816
3 376 -log(L): 3154.22  Spbio: 99243.8 676816
3 377 -log(L): 3154.22  Spbio: 99243.8 676816
3 378 -log(L): 3154.22  Spbio: 99243.8 676816
3 379 -log(L): 3154.22  Spbio: 99243.8 676816
3 380 -log(L): 3154.22  Spbio: 99243.8 676816
3 381 -log(L): 3154.22  Spbio: 99243.8 676816
3 382 -log(L): 3154.22  Spbio: 99243.8 676816
3 383 -log(L): 3154.22  Spbio: 99246 676817
3 384 -log(L): 3154.22  Spbio: 99241.5 676815
3 385 -log(L): 3154.22  Spbio: 99244 676816
3 386 -log(L): 3154.22  Spbio: 99243.5 676816
3 387 -log(L): 3154.22  Spbio: 99243.8 676816
3 388 -log(L): 3154.22  Spbio: 99243.8 676816
3 389 -log(L): 3154.22  Spbio: 99243.8 676816
3 390 -log(L): 3154.22  Spbio: 99243.8 676816
3 391 -log(L): 3154.22  Spbio: 99243.8 676816
3 392 -log(L): 3154.22  Spbio: 99243.8 676816
3 393 -log(L): 3154.22  Spbio: 99243.8 676816
3 394 -log(L): 3154.22  Spbio: 99243.8 676816
3 395 -log(L): 3154.22  Spbio: 99243.8 676816
3 396 -log(L): 3154.22  Spbio: 99243.8 676816
3 397 -log(L): 3154.22  Spbio: 99243.8 676816
3 398 -log(L): 3154.22  Spbio: 99243.8 676816
3 399 -log(L): 3154.22  Spbio: 99243.8 676816
3 400 -log(L): 3154.22  Spbio: 99243.8 676816
3 401 -log(L): 3154.22  Spbio: 99243.8 676816
3 402 -log(L): 3154.22  Spbio: 99243.8 676816
3 403 -log(L): 3154.22  Spbio: 99243.8 676816
3 404 -log(L): 3154.22  Spbio: 99243.8 676816
3 405 -log(L): 3154.22  Spbio: 99243.8 676816
3 406 -log(L): 3154.22  Spbio: 99243.8 676816
3 407 -log(L): 3154.22  Spbio: 99243.8 676816
3 408 -log(L): 3154.22  Spbio: 99243.8 676816
3 409 -log(L): 3154.22  Spbio: 99243.8 676816
3 410 -log(L): 3154.22  Spbio: 99243.8 676816
3 411 -log(L): 3154.22  Spbio: 99243.8 676816
3 412 -log(L): 3154.22  Spbio: 99243.8 676816
3 413 -log(L): 3154.22  Spbio: 99243.8 676816
3 414 -log(L): 3154.22  Spbio: 99243.8 676816
3 415 -log(L): 3154.22  Spbio: 99243.8 676816
3 416 -log(L): 3154.22  Spbio: 99243.8 676816
3 417 -log(L): 3154.22  Spbio: 99243.8 676816
3 418 -log(L): 3154.22  Spbio: 99243.8 676816
3 419 -log(L): 3154.22  Spbio: 99243.8 676816
3 420 -log(L): 3154.22  Spbio: 99243.8 676816
3 421 -log(L): 3154.22  Spbio: 99243.8 676816
3 422 -log(L): 3154.22  Spbio: 99243.8 676816
3 423 -log(L): 3154.22  Spbio: 99243.8 676816
3 424 -log(L): 3154.22  Spbio: 99243.8 676816
3 425 -log(L): 3154.22  Spbio: 99243.8 676816
3 426 -log(L): 3154.22  Spbio: 99243.8 676816
3 427 -log(L): 3154.22  Spbio: 99243.8 676816
3 428 -log(L): 3154.22  Spbio: 99243.8 676816
3 429 -log(L): 3154.22  Spbio: 99243.8 676816
3 430 -log(L): 3154.22  Spbio: 99243.8 676816
3 431 -log(L): 3154.22  Spbio: 99243.8 676816
3 432 -log(L): 3154.22  Spbio: 99243.8 676816
3 433 -log(L): 3154.22  Spbio: 99243.8 676816
3 434 -log(L): 3154.22  Spbio: 99243.8 676816
3 435 -log(L): 3154.22  Spbio: 99243.8 676816
3 436 -log(L): 3154.22  Spbio: 99243.8 676816
3 437 -log(L): 3154.22  Spbio: 99243.8 676816
3 438 -log(L): 3154.22  Spbio: 99243.8 676816
3 439 -log(L): 3154.22  Spbio: 99243.8 676816
3 440 -log(L): 3154.22  Spbio: 99243.8 676816
3 441 -log(L): 3154.22  Spbio: 99243.8 676816
3 442 -log(L): 3154.22  Spbio: 99243.8 676816
3 443 -log(L): 3154.22  Spbio: 99243.8 676816
3 444 -log(L): 3154.22  Spbio: 99243.8 676816
3 445 -log(L): 3154.22  Spbio: 99243.8 676816
3 446 -log(L): 3154.22  Spbio: 99243.8 676816
3 447 -log(L): 3154.22  Spbio: 99243.8 676816
3 448 -log(L): 3154.22  Spbio: 99243.8 676816
3 449 -log(L): 3154.22  Spbio: 99243.8 676816
3 450 -log(L): 3154.22  Spbio: 99243.8 676816
3 451 -log(L): 3154.22  Spbio: 99243.8 676816
3 452 -log(L): 3154.22  Spbio: 99243.8 676816
3 453 -log(L): 3154.22  Spbio: 99243.8 676816
3 454 -log(L): 3154.22  Spbio: 99243.8 676816
3 455 -log(L): 3154.22  Spbio: 99243.8 676816
3 456 -log(L): 3154.22  Spbio: 99243.8 676816
3 457 -log(L): 3154.22  Spbio: 99243.8 676816
3 458 -log(L): 3154.22  Spbio: 99243.8 676816
3 459 -log(L): 3154.22  Spbio: 99243.8 676816
3 460 -log(L): 3154.22  Spbio: 99243.8 676816
3 461 -log(L): 3154.22  Spbio: 99243.8 676816
3 462 -log(L): 3154.22  Spbio: 99243.8 676816
3 463 -log(L): 3154.22  Spbio: 99243.8 676816
