"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20"
2005,451604,173685,148043,114548,62116.4,77889.8,42683.7,8666.62,5733.79,5456.15,692.995,328.706,172.351,219.971,36.33,25.4808,11.734,2.18054,0.242764,0.340104,0.97865
2006,945580,306802,117987,99675.6,73230.6,35383,39008.7,19641.3,3773.72,2432.92,2285.52,288.723,136.656,71.5947,91.3485,15.0852,10.5799,4.872,0.905365,0.100796,0.547548
2007,357017,642390,208407,79478.3,63126.7,41367.2,17441.6,17347.7,8278.36,1543.73,982.801,917.951,115.697,54.7133,28.6552,36.5571,6.03676,4.23375,1.94962,0.362297,0.259445
2008,1553390,242544,436380,140662,50667.1,35534.6,20535.9,7804.35,7300.24,3389.29,623.434,394.787,367.886,46.3271,21.9009,11.4689,14.6309,2.41599,1.69439,0.780254,0.248827
2009,301630,1055310,164764,293842,89498.8,27859.7,16566,8528.96,3006.1,2707.82,1238.2,226.173,142.853,132.977,16.7388,7.91202,4.14308,5.28523,0.872741,0.612073,0.371739
2010,970075,204916,716876,111058,185180,49310.6,12820.1,6653.41,3178.39,1074.81,950.46,431.627,78.6074,49.5962,46.1474,5.80802,2.74515,1.43745,1.83371,0.302796,0.341331
2011,1347100,659031,139206,483823,71442.8,105586,24724.6,5718.11,2771.99,1282.58,426.954,375.131,169.967,30.9248,19.5051,18.1464,2.28376,1.0794,0.565203,0.721009,0.253269
2012,676195,915165,447687,93743.1,307451,39733.4,49319.7,10172.1,2150.66,997.87,453.321,149.658,131.072,59.3219,10.7886,6.80365,6.32933,0.796541,0.376474,0.197132,0.339809
2013,1495550,459381,621679,301692,59569.8,172988,19267.6,20998,4024.56,814.795,371.047,167.351,55.0795,48.1845,21.7995,3.964,2.49969,2.32537,0.292644,0.138314,0.197268
2014,266890,1016020,312069,419239,192822,33828.3,86177.6,8602.22,8708.29,1611.67,320.401,144.86,65.1638,21.4243,18.7351,8.47501,1.54101,0.971738,0.903969,0.113763,0.130454
2015,429673,181315,690203,210326,269227,111310,17277.1,40119.8,3770.11,3689.36,673.126,132.914,59.9419,26.9405,8.85428,7.74193,3.50199,0.636755,0.401527,0.373523,0.100911
2016,239158,291903,123173,466388,135729,159594,59749.9,8585.69,19049.5,1745.82,1687.38,306.388,60.3697,27.2049,12.2239,4.0171,3.51231,1.58874,0.288874,0.182159,0.215234
2017,234880,162475,198301,83221.7,303701,80799.2,87044,30363.5,4179.45,9075.14,822.964,791.621,143.488,28.2515,12.7279,5.71849,1.87919,1.64303,0.743197,0.135132,0.185896
2018,1039390,159568,110375,134151,54378.4,184873,44996.7,45683.1,15343.9,2071.21,4458.12,402.685,386.7,70.0513,13.7891,6.21179,2.79079,0.917089,0.801833,0.362696,0.156668
2019,265938,706121,108402,74600.3,88364.4,33595,106661,24498,24130.7,7972.86,1068.11,2291.82,206.737,198.423,35.9379,7.0736,3.18647,1.43158,0.470434,0.411312,0.266415
2020,477719,180668,479685,73344.6,48830.1,54772.1,19373.2,58391.3,12962.1,12576.6,4125.08,550.919,1180.66,106.45,102.149,18.4999,3.64119,1.64025,0.736909,0.242156,0.34886
2021,578324,324544,122735,324448,48147.2,29885.3,31486.5,10516.1,30692.5,6693.5,6448.89,2108.56,281.252,602.456,54.3083,52.1104,9.43725,1.85745,0.83672,0.375911,0.301488
2022,399305,392892,220475,83077,213722,29978.1,17375.5,17544.1,5682.31,16344.1,3538.96,3400.68,1110.67,148.085,317.155,28.5882,27.4305,4.96766,0.977736,0.440438,0.356573
2023,621430,271273,266906,149004,54378.3,130167,16876.4,9169.62,8969.04,2848.91,8126.83,1753.16,1682.48,549.215,73.2116,156.787,14.1323,13.5599,2.45568,0.483327,0.393988
2024,621430,422176,184283,180386,97360.2,33275,73672.3,9014.89,4721.14,4546.83,1432.1,4071.7,877.141,841.377,274.602,36.6025,78.3846,7.06527,6.77907,1.22768,0.4386
2025,621430,422176,286795,124472,116849,58098.9,18230.5,37660.6,4427.6,2269.59,2168.09,680.107,1930.75,415.675,398.646,130.096,17.3404,37.1343,3.34712,3.21153,0.789388
2026,621430,422176,286800,193923,80935,69969.8,31934,9418.28,18702.6,2156.6,1095.32,1042.93,326.655,926.83,199.496,191.31,62.4314,8.32134,17.82,1.60621,1.91995
2027,621430,422176,286800,193968,126898,48955.4,38843.6,16673,4746.96,9247.52,1057.41,535.074,508.849,159.288,451.864,97.2544,93.2612,30.4343,4.0565,8.6869,1.71894
2028,621430,422176,286801,193979,126987,77356.9,27347.2,20352.7,8427.36,2357.22,4552.8,518.779,262.138,249.173,77.9838,221.208,47.609,45.6538,14.8983,1.98575,5.0939
2029,621430,422176,286800,193953,126851,77156.5,43201.7,14250.1,10196.3,4143.32,1149.34,2211.65,251.653,127.088,120.78,37.7978,107.214,23.0746,22.1269,7.22072,3.43127
2030,621430,422176,286800,193913,126619,76692.6,42716,22332.3,7052.06,4941.78,1990.29,550.089,1056.9,120.191,60.6846,57.6686,18.0467,51.189,11.0169,10.5644,5.08574
2031,621430,422176,286800,193886,126447,76293.4,42207.4,21906.6,10972.7,3386.5,2350.1,942.86,260.205,499.636,56.8066,28.6794,27.2533,8.52849,24.1908,5.20633,7.39589
2032,621430,422176,286800,193886,126429,76189.6,41987.8,21645.8,10763.5,5274.05,1610.86,1113.32,445.984,123.01,236.146,26.8467,13.5534,12.8794,4.03038,11.432,5.95552
2033,621430,422176,286800,193886,126429,76178.9,41930.6,21533.1,10635.4,5173.52,2509.66,763.193,526.617,210.834,58.1393,111.602,12.6874,6.40507,6.0865,1.90466,8.21694
2034,621430,422176,286800,193886,126429,76178.8,41924.7,21503.8,10580,5111.92,2461.83,1189.2,361.013,248.952,99.6476,27.4766,52.7417,5.99579,3.0269,2.87634,4.78323
2035,621430,422176,286800,193886,126429,76178.8,41924.7,21500.8,10565.6,5085.32,2432.51,1166.53,562.554,170.667,117.664,47.0933,12.985,24.9246,2.83348,1.43044,3.61974
2036,621430,422176,286800,193886,126429,76178.8,41924.7,21500.8,10564.1,5078.4,2419.85,1152.64,551.831,265.949,80.6637,55.6078,22.2556,6.13645,11.7788,1.33904,2.3866
2037,621430,422176,286800,193886,126429,76178.8,41924.7,21500.8,10564.1,5077.68,2416.56,1146.64,545.261,260.88,125.699,38.1216,26.2794,10.5175,2.89995,5.5664,1.76065
2038,621430,422176,286800,193886,126429,76178.8,41924.7,21500.8,10564.1,5077.68,2416.22,1145.08,542.423,257.774,123.303,59.4053,18.0157,12.4191,4.97035,1.37045,3.46259
2039,621430,422176,286800,193886,126429,76178.8,41924.7,21500.8,10564.1,5077.68,2416.22,1144.92,541.685,256.432,121.835,58.273,28.0741,8.51386,5.869,2.34888,2.28398
