"LABEL","ENSEMBLE_MEAN","SD"
"Recr_2018",749239.138,93630.599439786
"Recr_2019",225354.4892,73721.8271929709
"Recr_2020",409968.3206,122049.772357578
"Recr_2021",506864.925,64534.8182620416
"Recr_2022",506864.925,64502.8267654548
"Recr_2023",506864.925,64559.289188298
"Recr_2024",506864.925,64544.7890480096
"Recr_2025",506864.925,64406.0786239216
"Recr_2026",506864.925,64188.765166195
"Recr_2027",506864.925,64238.167090061
"Recr_2028",506864.925,64316.1664566455
"Recr_2029",506864.925,64398.0017132461
"Recr_2030",506864.925,64403.5283896335
"Recr_2031",506864.925,64465.3688649822
"Recr_2032",506864.925,64588.0951513223
"Recr_2033",506864.925,64319.9535658849
"SPRratio_1977",0.3966892274,0.0924588260273651
"SPRratio_1978",0.4556051096,0.0986281433455684
"SPRratio_1979",0.3692715536,0.0901880603428803
"SPRratio_1980",0.383576286,0.0858328459310493
"SPRratio_1981",0.3272323692,0.0697425154239403
"SPRratio_1982",0.2602470706,0.0542968113661385
"SPRratio_1983",0.3078227694,0.0528101981951948
"SPRratio_1984",0.384506798,0.0505348306303173
"SPRratio_1985",0.406783808,0.0489824340897587
"SPRratio_1986",0.4050908516,0.0446061359618602
"SPRratio_1987",0.428615792,0.0427190576300678
"SPRratio_1988",0.5164058082,0.0420800426170165
"SPRratio_1989",0.478163923,0.0418190637053618
"SPRratio_1990",0.4930942986,0.04038050528076
"SPRratio_1991",0.6224934152,0.0368512357892158
"SPRratio_1992",0.638388176,0.0366367547752754
"SPRratio_1993",0.5708640912,0.0398391018211371
"SPRratio_1994",0.6334870942,0.0376242642120944
"SPRratio_1995",0.6950571156,0.0372103292044067
"SPRratio_1996",0.652301128,0.0434183565830249
"SPRratio_1997",0.7057157292,0.0431760365161301
"SPRratio_1998",0.6327963054,0.0518179552730831
"SPRratio_1999",0.6217835908,0.0534484604405214
"SPRratio_2000",0.6090926078,0.05326595103423
"SPRratio_2001",0.576538851,0.0502764146475432
"SPRratio_2002",0.6161453096,0.0438461126782201
"SPRratio_2003",0.6257059624,0.0421704920260522
"SPRratio_2004",0.6295919446,0.0407466308189071
"SPRratio_2005",0.6428091858,0.0402606828612551
"SPRratio_2006",0.645573469,0.0421225551048031
"SPRratio_2007",0.625035097,0.0467350861712077
"SPRratio_2008",0.6642493074,0.0473621841939808
"SPRratio_2009",0.7004601506,0.0481364168225176
"SPRratio_2010",0.6832411018,0.0498417624465939
"SPRratio_2011",0.7315251362,0.0391312673827987
"SPRratio_2012",0.7195748682,0.0360402467993795
"SPRratio_2013",0.70378277,0.0352681177264519
"SPRratio_2014",0.7076858384,0.0340164427486174
"SPRratio_2015",0.6907761102,0.037212871563591
"SPRratio_2016",0.668394848,0.0406168649745809
"SPRratio_2017",0.6193358972,0.0443353733809635
"SPRratio_2018",0.5548038214,0.0446378974681272
"SPRratio_2019",0.5386346422,0.043156199882569
"SPRratio_2020",0.5500637762,0.0561019700227742
"SPRratio_2021",0.5317915604,0.0462124223192628
"SPRratio_2022",0.5769376304,0.0335518781873426
"SPRratio_2023",0.5739320274,0.0213318645277312
"SPRratio_2024",0.5604846868,0.0129591861702886
"SPRratio_2025",0.5571741156,0.012989708179111
"SPRratio_2026",0.5693760234,0.0122217131527496
"SPRratio_2027",0.5849207566,0.00837752273106959
"SPRratio_2028",0.5951798192,0.00511074388885359
"SPRratio_2029",0.600197004,0.00360478365242607
"SPRratio_2030",0.601717109,0.00315802278259267
"SPRratio_2031",0.601829478,0.0030201372065777
"SPRratio_2032",0.6015787808,0.00294187647782984
"SPRratio_2033",0.6011632906,0.00291653819783112
"F_1977",0.157846978,0.0541066741593077
"F_1978",0.193521003,0.0666510429880415
"F_1979",0.1397917952,0.0476402534768421
"F_1980",0.14594245264,0.046290293833031
"F_1981",0.11146405432,0.0300463478443868
"F_1982",0.08656749888,0.0205503351872418
"F_1983",0.10494657036,0.0214710532236433
"F_1984",0.1435963172,0.0256449566490873
"F_1985",0.1577512572,0.0249416230736726
"F_1986",0.1506143624,0.0209058688243441
"F_1987",0.1745719486,0.0225894514423367
"F_1988",0.2066873106,0.0253520533257636
"F_1989",0.1926852658,0.0253394205173009
"F_1990",0.215904953,0.0296242639347056
"F_1991",0.3609201692,0.0468989038499067
"F_1992",0.3916429132,0.0513483393060204
"F_1993",0.2725653564,0.0337381192297408
"F_1994",0.3688853804,0.044815152928685
"F_1995",0.4635857828,0.0619056403916344
"F_1996",0.4355237486,0.076587865374201
"F_1997",0.4873694454,0.0908431665874219
"F_1998",0.3895210924,0.077023827791035
"F_1999",0.3718273094,0.0725692800787787
"F_2000",0.3558872578,0.0713721755790198
"F_2001",0.3313002524,0.051520313975344
"F_2002",0.3507323522,0.0440888474643141
"F_2003",0.366808614,0.0548320509015462
"F_2004",0.3768875476,0.0596926121401796
"F_2005",0.3928687786,0.0628106821862158
"F_2006",0.403264236,0.0645669496882067
"F_2007",0.3736477716,0.0663836171791578
"F_2008",0.4403049166,0.0829062114307366
"F_2009",0.5551391478,0.12046878983954
"F_2010",0.534488225,0.122291962406087
"F_2011",0.6487314196,0.127223473389351
"F_2012",0.5698284928,0.0928116977927232
"F_2013",0.5249072294,0.0688738704751
"F_2014",0.5729708338,0.0798619333205597
"F_2015",0.5434192304,0.0851597653744942
"F_2016",0.487730083,0.0786019584628431
"F_2017",0.40882602,0.0909901646560542
"F_2018",0.2941675524,0.0551939252832658
"F_2019",0.2777249312,0.0553212574088149
"F_2020",0.2906454018,0.0799213880189977
"F_2021",0.2844194726,0.0526253077771324
"F_2022",0.303476672,0.051534314670242
"F_2023",0.3031814406,0.0393869893278603
"F_2024",0.2909615778,0.0308054400085775
"F_2025",0.2854755236,0.0281066393466242
"F_2026",0.2951722746,0.0285311505161228
"F_2027",0.3101227234,0.0291424021914997
"F_2028",0.3215729098,0.0295856795349242
"F_2029",0.327756018,0.0298571408142136
"F_2030",0.3302973656,0.0297487908493722
"F_2031",0.3310330846,0.0295969689515592
"F_2032",0.3310859946,0.0293908633880431
"F_2033",0.330970987,0.0294498043201742
"Bratio_1977",0.1744898658,0.0610403255942815
"Bratio_1978",0.1796887878,0.0635581259564205
"Bratio_1979",0.1822158084,0.0627439561808545
"Bratio_1980",0.2168446682,0.066030823672734
"Bratio_1981",0.3060944786,0.0751891821020777
"Bratio_1982",0.4628910638,0.0929188766304455
"Bratio_1983",0.607058387,0.104159233752074
"Bratio_1984",0.6117814726,0.0926872268403511
"Bratio_1985",0.6898166578,0.100377346276934
"Bratio_1986",0.6764448546,0.0920298145169808
"Bratio_1987",0.6578614348,0.0803914331678584
"Bratio_1988",0.6941099066,0.0785467550329037
"Bratio_1989",0.6753360314,0.0727378588477265
"Bratio_1990",0.608927994,0.0616781564065857
"Bratio_1991",0.491895414,0.0490773824077007
"Bratio_1992",0.3665887534,0.0410985775847492
"Bratio_1993",0.3479917046,0.0395412428983232
"Bratio_1994",0.3431371128,0.0340555642543539
"Bratio_1995",0.3587317564,0.0350434504323619
"Bratio_1996",0.3538081886,0.0389703876699795
"Bratio_1997",0.344928452,0.0428162991337957
"Bratio_1998",0.3102476412,0.0452352903791597
"Bratio_1999",0.3024801392,0.0470832028658945
"Bratio_2000",0.3179884696,0.0487056623229928
"Bratio_2001",0.3299106158,0.0453033516015191
"Bratio_2002",0.351162994,0.0426918448379891
"Bratio_2003",0.3585017276,0.0405297153714026
"Bratio_2004",0.3650951378,0.0392667210886311
"Bratio_2005",0.359686178,0.0388501119735384
"Bratio_2006",0.32439788,0.0367480967526598
"Bratio_2007",0.2911805094,0.037113321147153
"Bratio_2008",0.2585152276,0.0380274946471618
"Bratio_2009",0.232257893,0.0401633368516677
"Bratio_2010",0.2242962294,0.0410796311835433
"Bratio_2011",0.2590612604,0.0403935067486631
"Bratio_2012",0.2968150852,0.0374387778533282
"Bratio_2013",0.3334681004,0.0349419590763765
"Bratio_2014",0.3383424628,0.0324329805728952
"Bratio_2015",0.3468436412,0.0330762197007668
"Bratio_2016",0.397121655,0.0405151550405503
"Bratio_2017",0.4585579206,0.0517927559199814
"Bratio_2018",0.5019004036,0.0597678611902671
"Bratio_2019",0.5076675602,0.0616987630160334
"Bratio_2020",0.4550555568,0.0572943069538121
"Bratio_2021",0.3649898988,0.0519103685896294
"Bratio_2022",0.3722955408,0.0506528212698744
"Bratio_2023",0.3671768312,0.0293425366153669
"Bratio_2024",0.3531516226,0.0179999051590505
"Bratio_2025",0.3469577206,0.0170777521071843
"Bratio_2026",0.3580178618,0.0157495093846576
"Bratio_2027",0.375037983,0.0107973191355451
"Bratio_2028",0.3880957782,0.00629991213073153
"Bratio_2029",0.395172889,0.00397767861209236
"Bratio_2030",0.3980979846,0.00339134529948741
"Bratio_2031",0.3989541394,0.0033513345315625
"Bratio_2032",0.3990225662,0.00336708425957072
"Bratio_2033",0.398892948,0.00338142398279187
"SSB_unfished",1374739.474,106734.531549803
"Totbio_unfished",1883729.378,122597.501475288
"SmryBio_unfished",1835192.686,122493.048264225
"Recr_unfished",506864.925,64534.0896384902
"SSB_Btgt",481157.637,37456.3264448863
"SPR_Btgt",0.35,0
"annF_Btgt",0.4048809334,0.0384227713144639
"Dead_Catch_Btgt",177395.0702,11012.1852118044
"SSB_SPR",549894.2528,42898.1807499092
"annF_SPR",0.3319653024,0.0302000889317357
"Dead_Catch_SPR",165934.1376,10197.5626722619
"SSB_MSY",549894.2528,42806.3181139634
"SPR_MSY",0.4,1.43976839857024e-13
"annF_MSY",0.3319653024,0.0301152860799886
"Dead_Catch_MSY",165934.1376,10201.969139992
"Ret_Catch_MSY",165934.1376,10194.8327646839
"B_MSY/SSB_unfished",0.4,1.44853098336845e-13
"ForeCatch_2022",149826.61,37945.3871736665
"ForeCatch_2023",149499.118,27955.5691751185
"ForeCatch_2024",137389.835,20978.6735991942
"ForeCatch_2025",134192.659,19863.2223477662
"ForeCatch_2026",145348.8232,20088.8022463216
"ForeCatch_2027",160307.946,16770.9418315174
"ForeCatch_2028",171106.868,14203.6486959386
"ForeCatch_2029",176607.7296,12750.7401462609
"ForeCatch_2030",178692.2666,12140.8907221995
"ForeCatch_2031",179196.1458,11864.2580710228
"ForeCatch_2032",179156.792,11831.2671198476
"ForeCatch_2033",179013.3622,11860.5349544843
"OFLCatch_2022",161010.2596,24578.0037190417
"OFLCatch_2023",161423.1164,18678.0549887098
"OFLCatch_2024",154238.8454,16179.889575744
"OFLCatch_2025",153395.4182,15883.8459684111
"OFLCatch_2026",161333.3772,16293.0407626949
"OFLCatch_2027",170290.8266,14653.936857644
"OFLCatch_2028",176006.7496,13535.7035381269
"OFLCatch_2029",178622.1074,12897.0831684047
"OFLCatch_2030",179492.8024,12603.5876412461
"OFLCatch_2031",179639.268,12424.5104209652
"OFLCatch_2032",179570.6696,12416.3795738837
"OFLCatch_2033",179481.5438,12492.6857649617
"ln(SPB)_1977",12.35928166,0.377661877965064
"ln(SPB)_1999",12.9261207,0.19666286002413
"ln(SPB)_2021",13.11623474,0.183349185354898
"Survey_1982",13.44026778,0.0471450842542465
"Survey_1983",13.58157136,0.0475087363193759
"Survey_1984",13.54617568,0.0519449253047725
"Survey_1985",13.63387418,0.0363937780632291
"Survey_1986",13.64356532,0.0336124718814693
"Survey_1987",13.52310908,0.0460545812779052
"Survey_1988",13.19767234,0.0277762223788595
"Survey_1989",12.86207386,0.0416163050278861
"Survey_1990",13.1103524,0.0408576000334543
"Survey_1991",13.23622838,0.0435098238944432
"Survey_1992",13.35881936,0.057703979239913
"Survey_1993",13.56844828,0.0388725918605174
"Survey_1994",13.6692291,0.103811611163501
"Survey_1995",13.38482176,0.0380110447028315
"Survey_1996",13.20300726,0.0511488831965491
"Survey_1997",13.19218522,0.0387029748539478
"Survey_1998",13.3127061,0.0419722616407818
"Survey_1999",13.22595728,0.0431057779796027
"Survey_2000",13.22639678,0.0466456786782915
"Survey_2001",13.64475974,0.0741506562765952
"Survey_2002",13.34426502,0.0366320490917952
"Survey_2003",13.22846078,0.0485634164163823
"Survey_2004",13.10191918,0.0523085921637863
"Survey_2005",13.11043034,0.0731612971322402
"Survey_2006",13.04399772,0.0772938978855922
"Survey_2007",13.42237428,0.0828283167383057
"Survey_2008",13.28548806,0.0930441490573053
"Survey_2009",13.57623812,0.0523936486900524
"Survey_2010",13.58186896,0.0436689312042759
"Survey_2011",13.58603066,0.0457975242876213
"Survey_2012",13.8399972,0.0451090253767995
"Survey_2013",13.63238564,0.0630410467380497
"Survey_2014",13.79516822,0.0939849932176146
"Survey_2015",13.79090398,0.0767067524883138
"Survey_2016",13.55433628,0.0895251318266537
"Survey_2017",13.25818744,0.0718357149502462
"Survey_2018",13.05528644,0.0744380668455805
"Survey_2019",13.51177374,0.0471384888525488
"Survey_2021",13.24626364,0.0488130506654714
