"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2006","Both"," [kg*km2/km2]",440786736.236013,17509508.7693516,0.0463512714734941
"1","2007","Both"," [kg*km2/km2]",596072936.160594,26090748.3691435,0.0513255755498267
"1","2008","Both"," [kg*km2/km2]",483587514.033223,21136902.337634,0.0512205562795312
"1","2009","Both"," [kg*km2/km2]",713922931.900543,27977389.755259,0.0459354694764801
"1","2010","Both"," [kg*km2/km2]",752482555.506764,32014187.1234585,0.0491271135061748
"1","2011","Both"," [kg*km2/km2]",862076820.968903,35446815.28427,0.0481696931075129
"1","2012","Both"," [kg*km2/km2]",1053714987.66818,52830864.3691158,0.0593930375953431
"1","2013","Both"," [kg*km2/km2]",768343917.201805,36717465.8601815,0.0564055008847432
"1","2014","Both"," [kg*km2/km2]",1230165173.76952,70014602.9303264,0.0680684328982064
"1","2015","Both"," [kg*km2/km2]",1081398928.72453,59974217.3342601,0.0662274243342106
"1","2016","Both"," [kg*km2/km2]",941485483.020528,71996290.518902,0.0937926050745485
"1","2017","Both"," [kg*km2/km2]",519064848.747781,19262153.4963641,0.0436106051211451
"1","2018","Both"," [kg*km2/km2]",527814197.60132,27438796.0053547,0.0631129449743271
"1","2019","Both"," [kg*km2/km2]",761370472.581372,32683620.3933736,0.0507727865368887
"1","2020","Both"," [kg*km2/km2]",0.00445025150148762,0.00135104135885158,0.424693773519356
"1","2021","Both"," [kg*km2/km2]",607307846.267792,28648304.032343,0.0555985956540466
"1","2022","Both"," [kg*km2/km2]",552637225.530743,22525733.2651045,0.047806562721662
"1","2023","Both"," [kg*km2/km2]",620365123.07542,24383698.3937358,0.046036829542806
"1","2024","Both"," [kg*km2/km2]",501465761.844708,22860917.0429596,0.0543453926050079
"1","1982","EBS"," [kg*km2/km2]",643061459.927809,26095755.3628289,0.0476519410954746
"1","1983","EBS"," [kg*km2/km2]",757656433.761489,34352449.568388,0.0532588840635979
"1","1984","EBS"," [kg*km2/km2]",659157192.269013,26508420.7819162,0.0470086737428814
"1","1985","EBS"," [kg*km2/km2]",824944468.318256,30739724.4413011,0.0435187985518575
"1","1986","EBS"," [kg*km2/km2]",840288793.579996,32753918.8610155,0.0456245391964974
"1","1987","EBS"," [kg*km2/km2]",729647667.381789,27416318.3191069,0.0441016739799516
"1","1988","EBS"," [kg*km2/km2]",516334523.410331,20099711.0936941,0.0453236676406734
"1","1989","EBS"," [kg*km2/km2]",333240642.253484,15454062.605667,0.0541517554346998
"1","1990","EBS"," [kg*km2/km2]",442716838.509356,18564592.9606493,0.0486018835654408
"1","1991","EBS"," [kg*km2/km2]",484691621.77372,22029335.1759606,0.0527205231920531
"1","1992","EBS"," [kg*km2/km2]",535907342.962405,25824468.8960357,0.056376126895953
"1","1993","EBS"," [kg*km2/km2]",764864036.456818,35075802.3377897,0.0534106212997138
"1","1994","EBS"," [kg*km2/km2]",1136603952.74511,47527205.7612044,0.0486139578901419
"1","1995","EBS"," [kg*km2/km2]",699719687.249495,28587087.3630245,0.0475290573141128
"1","1996","EBS"," [kg*km2/km2]",559253209.674818,24867712.5863997,0.0518420773253253
"1","1997","EBS"," [kg*km2/km2]",484693392.824802,20867591.0215283,0.0502478388064795
"1","1998","EBS"," [kg*km2/km2]",558375393.46243,31673568.9839154,0.0662817971394476
"1","1999","EBS"," [kg*km2/km2]",517943449.178007,24006842.5400441,0.0546135784751423
"1","2000","EBS"," [kg*km2/km2]",497150235.422663,23666419.6780822,0.0553032582005275
"1","2001","EBS"," [kg*km2/km2]",980464226.536242,46246045.2796117,0.0548512422980869
"1","2002","EBS"," [kg*km2/km2]",589588398.067386,35283696.5582701,0.0699390668378357
"1","2003","EBS"," [kg*km2/km2]",568385046.17555,37212922.2609468,0.0769616157540602
"1","2004","EBS"," [kg*km2/km2]",460817639.862042,32444782.1360051,0.0819616699226277
"1","2005","EBS"," [kg*km2/km2]",469632939.522435,28908185.184936,0.0718608654107935
"1","2006","EBS"," [kg*km2/km2]",429372871.468919,17038986.3663927,0.0460726315088164
"1","2007","EBS"," [kg*km2/km2]",571676343.028258,24813743.3291276,0.0505222552626946
"1","2008","EBS"," [kg*km2/km2]",471144519.656958,20626347.8717129,0.0510526432159925
"1","2009","EBS"," [kg*km2/km2]",687815485.133594,26619012.0039896,0.0451081894944612
"1","2010","EBS"," [kg*km2/km2]",743123495.547945,31984693.5915265,0.0496887832706514
"1","2011","EBS"," [kg*km2/km2]",817336841.863252,32703375.6524324,0.0465128153353953
"1","2012","EBS"," [kg*km2/km2]",1029172036.89262,51984095.3761458,0.0595523840419288
"1","2013","EBS"," [kg*km2/km2]",724414455.14605,33649445.953921,0.0542270686819426
"1","2014","EBS"," [kg*km2/km2]",1088015261.53016,54669073.2949769,0.0587483547830194
"1","2015","EBS"," [kg*km2/km2]",946561242.250001,44117811.6967459,0.05431666874873
"1","2016","EBS"," [kg*km2/km2]",712076571.828292,36244406.746724,0.0596807985310907
"1","2017","EBS"," [kg*km2/km2]",377253251.156665,16416135.7025784,0.050904771959377
"1","2018","EBS"," [kg*km2/km2]",294751299.386474,17052509.4401436,0.0682201070794377
"1","2019","EBS"," [kg*km2/km2]",544265687.145718,29201878.6597468,0.0631287483021973
"1","2020","EBS"," [kg*km2/km2]",0.00391190478706576,0.00121819979544949,0.435511201825264
"1","2021","EBS"," [kg*km2/km2]",492616257.666257,27312668.5278198,0.0652221735932598
"1","2022","EBS"," [kg*km2/km2]",465438382.519922,21512283.5627216,0.0541350252090186
"1","2023","EBS"," [kg*km2/km2]",564901189.17038,23766183.8675742,0.0491534918963382
"1","2024","EBS"," [kg*km2/km2]",454294343.57972,18624300.4239942,0.0481241073417045
"1","1982","NBS"," [kg*km2/km2]",72455868.672462,19288249.2965321,0.368132307262923
"1","1983","NBS"," [kg*km2/km2]",115956878.300374,31315016.3443702,0.378881783816221
"1","1984","NBS"," [kg*km2/km2]",47176531.2098934,13382902.2460825,0.403154102076912
"1","1985","NBS"," [kg*km2/km2]",76263902.0403551,15954099.1638571,0.282355073748672
"1","1986","NBS"," [kg*km2/km2]",44719320.2219531,12564250.4825415,0.401063433739724
"1","1987","NBS"," [kg*km2/km2]",95993409.7173843,26180731.2000289,0.38835115464392
"1","1988","NBS"," [kg*km2/km2]",29766065.6999788,4154531.05264903,0.173719070522679
"1","1989","NBS"," [kg*km2/km2]",25932149.1948992,6935289.10306574,0.374103609967328
"1","1990","NBS"," [kg*km2/km2]",29423750.1022422,7793921.02279349,0.365633691418475
"1","1991","NBS"," [kg*km2/km2]",28935697.4230736,4923033.03517359,0.2176612616274
"1","1992","NBS"," [kg*km2/km2]",22148163.0070269,6261730.00446978,0.399316382100092
"1","1993","NBS"," [kg*km2/km2]",63907767.6340558,17732131.253205,0.392021986161434
"1","1994","NBS"," [kg*km2/km2]",38138425.4257917,12110658.3865178,0.467590592299104
"1","1995","NBS"," [kg*km2/km2]",22339376.9599068,7322523.38515347,0.488564724400215
"1","1996","NBS"," [kg*km2/km2]",53751820.8114471,17141662.0524367,0.476850679904676
"1","1997","NBS"," [kg*km2/km2]",38749507.1448604,11968856.0180563,0.456457734860907
"1","1998","NBS"," [kg*km2/km2]",61181262.1039758,17588895.1117552,0.420344511539252
"1","1999","NBS"," [kg*km2/km2]",9950978.59971925,3279875.62541987,0.513165264336579
"1","2000","NBS"," [kg*km2/km2]",21266402.0216416,6408314.16143922,0.438400515737242
"1","2001","NBS"," [kg*km2/km2]",29415276.4149073,9386412.6558148,0.467831079140115
"1","2002","NBS"," [kg*km2/km2]",42128678.667566,11809604.5180853,0.406354932308295
"1","2003","NBS"," [kg*km2/km2]",57540833.5628953,16817145.271026,0.435713035779975
"1","2004","NBS"," [kg*km2/km2]",31566945.7750379,9068158.91777651,0.41996035337046
"1","2005","NBS"," [kg*km2/km2]",34331678.6609674,8737471.67890202,0.359062418355313
"1","2006","NBS"," [kg*km2/km2]",11413864.7670936,3334783.71244324,0.420633166982498
"1","2007","NBS"," [kg*km2/km2]",24396593.1323368,6798689.04651949,0.395425560687481
"1","2008","NBS"," [kg*km2/km2]",12442994.3762647,3617178.44473788,0.418495636022863
"1","2009","NBS"," [kg*km2/km2]",26107446.7669492,6892122.33426472,0.363821422637359
"1","2010","NBS"," [kg*km2/km2]",9359059.9588196,1003515.77317284,0.126073430019299
"1","2011","NBS"," [kg*km2/km2]",44739979.1056496,11829041.6403977,0.360980735059124
"1","2012","NBS"," [kg*km2/km2]",24542950.7755643,7386762.8027444,0.445012669078649
"1","2013","NBS"," [kg*km2/km2]",43929462.0557568,12918211.4273832,0.424566487908594
"1","2014","NBS"," [kg*km2/km2]",142149912.239352,40579114.182578,0.413954755400183
"1","2015","NBS"," [kg*km2/km2]",134837686.474528,38005550.0546624,0.407145277374217
"1","2016","NBS"," [kg*km2/km2]",229408911.192234,60172078.6712614,0.375354650491612
"1","2017","NBS"," [kg*km2/km2]",141811597.591117,9867849.08914527,0.0827854202363651
"1","2018","NBS"," [kg*km2/km2]",233062898.214847,21231280.0020901,0.114891657483416
"1","2019","NBS"," [kg*km2/km2]",217104785.435655,14269694.5134966,0.078774269074985
"1","2020","NBS"," [kg*km2/km2]",0.000538346714421854,0.00019011346647587,0.495034446123572
"1","2021","NBS"," [kg*km2/km2]",114691588.601536,7764619.48000974,0.0804567602404619
"1","2022","NBS"," [kg*km2/km2]",87198843.0108215,6312000.10270911,0.0855250063713809
"1","2023","NBS"," [kg*km2/km2]",55463933.9050403,5054445.85058414,0.109529805515927
"1","2024","NBS"," [kg*km2/km2]",47171418.2649877,12111838.8481604,0.359892136744406
