,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12+,Year,Region
X15,0,0.205927579,0.432953192,0.149083652,0.089020286,0.051051024,0.032745755,0.011801082,0.013284719,0.007443818,0.002978334,0.002248849,0.001461712,2008,Both
X16,0,0.477558488,0.180204796,0.219943014,0.060756893,0.026799133,0.014500003,0.009501097,0.006147165,0.00222928,0.001145184,0.000778141,0.000436805,2009,Both
X17,0,0.04359295,0.506603251,0.170508201,0.188895117,0.059539132,0.015227996,0.008219599,0.003990822,0.00193119,0.000731085,0.000665542,9.51E-05,2010,Both
X18,0.000187954,0.302034131,0.073497878,0.374448261,0.109393305,0.093089396,0.030443797,0.008123012,0.004257276,0.002041621,0.001304853,0.000701106,0.000477411,2011,Both
X19,0,0.373749097,0.23789815,0.059583653,0.220870993,0.061144539,0.032189405,0.008387195,0.003114907,0.002081564,0.000630432,0.000148551,0.000201513,2012,Both
X20,0,0.100342573,0.362050201,0.195017855,0.121148121,0.136169763,0.063283598,0.014769467,0.005058857,0.001259993,0.000276538,0.000340143,0.00028289,2013,Both
X21,0,0.306650505,0.179023129,0.217115145,0.185343032,0.052350582,0.04284285,0.011517685,0.002711969,0.00099487,0.000829256,7.23E-05,0.000548718,2014,Both
X22,0,0.058387278,0.426912616,0.201723358,0.19312087,0.08368901,0.019808127,0.012361662,0.002984435,0.000493601,0.000262322,0.000100624,0.000156096,2015,Both
X23,0,0.086829583,0.09177776,0.3451023,0.229126268,0.169403362,0.057549063,0.013480951,0.004455644,0.001461242,0.000471534,0.000264019,7.83E-05,2016,Both
X24,2.09E-06,0.110909871,0.162409163,0.1558452,0.288524731,0.165995447,0.083186703,0.024836062,0.004026723,0.002910988,0.000500925,0.000409555,0.00044254,2017,Both
X25,1.36E-05,0.07319518,0.093934225,0.251213951,0.168570386,0.290772662,0.087649603,0.029377224,0.00270653,0.001684974,0.000474984,0.000128094,0.000278622,2018,Both
X26,0,0.589481214,0.080713346,0.075161689,0.076175802,0.062497636,0.077474445,0.029610351,0.006710346,0.001139023,0.000321403,0.000155182,0.000559563,2019,Both
X27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Both
X28,0.001232261,0.248690865,0.139468486,0.28669624,0.153184398,0.061232109,0.04921814,0.03924213,0.014530098,0.004211007,0.00095757,0.000604159,0.000732538,2021,Both
X29,8.26E-05,0.222414466,0.229231258,0.174924882,0.218705293,0.070034497,0.03410672,0.024932455,0.014369671,0.00716602,0.002286195,0.000914862,0.000831063,2022,Both
X30,0,0.256862575,0.309451219,0.173718399,0.120424975,0.093972511,0.02166516,0.01156602,0.00741494,0.002401409,0.001877583,0.000323049,0.000322159,2023,Both
X31,5.14E-05,0.161254128,0.215328376,0.228661851,0.172500128,0.10533212,0.061568744,0.030206074,0.013497323,0.006095095,0.002757222,0.00144736,0.001300146,2024,Both
X32,9.45E-06,0.098850577,0.398972647,0.176021612,0.113037858,0.107449875,0.072757948,0.018978778,0.007417581,0.003794528,0.00117146,0.000780518,0.000757163,1994,EBS
X33,2.62E-05,0.058269955,0.265103177,0.420835072,0.104482893,0.073610177,0.050211219,0.012704314,0.006327777,0.004979892,0.001223521,0.001256348,0.000969458,1995,EBS
X34,5.60E-06,0.060211208,0.201541112,0.19685887,0.289565211,0.138195001,0.066226304,0.03233608,0.008402082,0.003159726,0.001325384,0.001108899,0.00106452,1996,EBS
X35,0.000154417,0.272759779,0.173081608,0.159194213,0.150435207,0.117128982,0.088969741,0.023374693,0.009981363,0.002346411,0.00143847,0.000761726,0.000373389,1997,EBS
X36,2.63E-05,0.069067185,0.45045406,0.201747464,0.112860695,0.057362271,0.058205228,0.029524302,0.015995558,0.003375818,0.000558174,0.000612668,0.000210288,1998,EBS
X37,0,0.082250232,0.199067196,0.318853021,0.224856409,0.074142115,0.054565658,0.027259396,0.011481492,0.005091935,0.000886475,0.001118928,0.000427143,1999,EBS
X38,0,0.203372029,0.121452558,0.172419094,0.248368119,0.155564366,0.060240412,0.014401919,0.015026224,0.004113666,0.003393294,0.001306943,0.000341376,2000,EBS
X39,3.99E-05,0.292719233,0.2450436,0.195840229,0.084914778,0.082170149,0.064864132,0.023859992,0.006594699,0.001604525,0.001220413,0.00085361,0.000274715,2001,EBS
X40,0.000426729,0.073767186,0.195641014,0.311740304,0.241206052,0.069983335,0.05758756,0.036398359,0.009101499,0.002729905,0.000753084,0.000324156,0.000340818,2002,EBS
X41,5.88E-06,0.173731589,0.160746581,0.237815354,0.213485981,0.122119896,0.042324781,0.029332306,0.015314675,0.00348779,0.000444562,0.000519992,0.000670617,2003,EBS
X42,0,0.132817369,0.148567249,0.278498857,0.134489821,0.138241657,0.097136852,0.037356479,0.02030674,0.007957178,0.002133465,0.001956325,0.000538008,2004,EBS
X43,4.72E-06,0.152419114,0.234129094,0.209201031,0.132917372,0.070857347,0.091872132,0.062930886,0.02663413,0.010312252,0.003863791,0.004411587,0.000446549,2005,EBS
X44,0,0.327260771,0.150459961,0.168680115,0.115046721,0.089887385,0.061350047,0.045430642,0.027291071,0.009725808,0.003073199,0.001149314,0.000644966,2006,EBS
X45,0,0.653255253,0.11118324,0.075630621,0.051182294,0.052417234,0.020915883,0.017037749,0.008848257,0.005569275,0.001858231,0.001122016,0.000979947,2007,EBS
X46,0,0.201222661,0.442875326,0.152867561,0.089731157,0.049965402,0.030263938,0.010749059,0.010332993,0.00607069,0.002509609,0.002088714,0.001322891,2008,EBS
X47,0,0.452126082,0.190615741,0.234121196,0.064073534,0.027652392,0.014073591,0.0089241,0.004557199,0.001766715,0.000964985,0.000726555,0.00039791,2009,EBS
X48,0,0.041418172,0.510464309,0.172120182,0.190152783,0.059161556,0.014239891,0.007415584,0.002469185,0.001345417,0.000553438,0.000577077,8.24E-05,2010,EBS
X49,0.000101296,0.288677927,0.075259443,0.389265735,0.112404396,0.092580098,0.028065449,0.007145468,0.002878771,0.001522025,0.001051591,0.000624299,0.000423503,2011,EBS
X50,0,0.372657124,0.242751648,0.061115167,0.223407609,0.059167318,0.02891593,0.007330819,0.002228017,0.001591279,0.000526625,0.00013384,0.000174624,2012,EBS
X51,0,0.097048006,0.376257839,0.201226578,0.121357852,0.12923777,0.056468431,0.012865086,0.003716861,0.001014945,0.000239678,0.000317939,0.000249017,2013,EBS
X52,0,0.301146934,0.177557982,0.231088744,0.18895166,0.049072235,0.037993012,0.009920121,0.002064075,0.000859442,0.000768477,7.18E-05,0.00050553,2014,EBS
X53,0,0.056777418,0.438935171,0.209062585,0.188025771,0.07595524,0.01739605,0.010635145,0.002317186,0.000418944,0.000237827,9.82E-05,0.000140462,2015,EBS
X54,0,0.101591083,0.096833305,0.363899216,0.222024873,0.147237189,0.05091971,0.011639125,0.003614846,0.001393688,0.000475915,0.000293472,7.76E-05,2016,EBS
X55,1.55E-06,0.136531226,0.161716865,0.171778299,0.288698468,0.13560929,0.076770063,0.021003802,0.003350688,0.003037979,0.000534592,0.000500404,0.000466778,2017,EBS
X56,1.23E-05,0.096806881,0.112555649,0.273050118,0.161595491,0.237130223,0.0784786,0.03344891,0.003484543,0.002197656,0.000686005,0.000210114,0.000343477,2018,EBS
X57,0,0.686154792,0.065294589,0.065471357,0.055559594,0.042381353,0.051924745,0.024907381,0.00649595,0.000954126,0.000329237,0.000188097,0.000338778,2019,EBS
X58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,EBS
X59,0.00065668,0.291245227,0.150438699,0.288593424,0.132424655,0.051812182,0.035666667,0.032522961,0.011159964,0.003089136,0.001018746,0.000680276,0.000691382,2021,EBS
X60,4.38E-05,0.239955086,0.25339587,0.17704368,0.186288958,0.067461853,0.029843362,0.021968473,0.012320848,0.007398335,0.002430583,0.000996928,0.000852263,2022,EBS
X61,0,0.262877109,0.319827201,0.181836458,0.108494234,0.087070731,0.019310096,0.009628255,0.006257502,0.002236074,0.00183405,0.000318896,0.000309395,2023,EBS
X62,2.90E-05,0.161065618,0.220957285,0.241689385,0.170588141,0.100685782,0.055856274,0.026370185,0.0116269,0.005703019,0.002712374,0.00145916,0.001256909,2024,EBS
X63,0.000150474,0.237152506,0.18756896,0.055123914,0.084079449,0.153824955,0.180490786,0.051663663,0.033084903,0.011266229,0.002557301,0.001254529,0.001782331,1994,NBS
X64,0.000474337,0.143337244,0.159739965,0.192492813,0.113262669,0.141112986,0.162019574,0.037305795,0.02839564,0.014741904,0.002507707,0.002280177,0.002329187,1995,NBS
X65,5.28E-05,0.109601591,0.101204211,0.089779764,0.235042993,0.205040232,0.163370215,0.064001546,0.021999653,0.005680698,0.001684922,0.00107169,0.001469637,1996,NBS
X66,0.000932417,0.386890824,0.095331503,0.069648494,0.098892242,0.12834404,0.15618288,0.036917798,0.021424705,0.003154554,0.001371433,0.000520534,0.000388576,1997,NBS
X67,0.000179114,0.116487788,0.352988636,0.124947865,0.10445269,0.075738264,0.119964019,0.057582659,0.0406891,0.005510889,0.000658245,0.000539808,0.000260926,1998,NBS
X68,0,0.203755325,0.132959115,0.133420672,0.142756286,0.103369416,0.143706554,0.072038232,0.047822625,0.015153978,0.002064356,0.001961726,0.000991716,1999,NBS
X69,0,0.210901339,0.067577015,0.094260012,0.185776712,0.194603112,0.13238698,0.035541892,0.056419729,0.011792069,0.007792766,0.002241994,0.000706379,2000,NBS
X70,0.00053173,0.355645774,0.118061639,0.064634565,0.067319769,0.121727413,0.1645652,0.068062939,0.028622567,0.005055096,0.00355758,0.001547526,0.000668202,2001,NBS
X71,0.004743765,0.11851331,0.109999667,0.14933763,0.210756371,0.115795369,0.148757687,0.096148072,0.035944277,0.007263579,0.001566564,0.000473756,0.000699953,2002,NBS
X72,5.09E-05,0.190854778,0.084451918,0.14683282,0.202893979,0.179204723,0.084457043,0.059374348,0.042650055,0.006956328,0.000637968,0.000552208,0.001082902,2003,NBS
X73,0,0.137841399,0.109270597,0.163320744,0.10712683,0.159095677,0.177055069,0.069683021,0.05381412,0.016611179,0.003346191,0.001924495,0.000910678,2004,NBS
X74,4.41E-05,0.110500885,0.204542746,0.147299453,0.100806082,0.081672996,0.154143625,0.107866484,0.0614185,0.020306687,0.006269028,0.00442363,0.000705775,2005,NBS
X75,0,0.410606776,0.053742791,0.045967959,0.05337817,0.084660214,0.123107277,0.095864708,0.09157565,0.028878665,0.008423974,0.002118879,0.001674938,2006,NBS
X76,0,0.734758972,0.053129248,0.019643552,0.0226931,0.046487751,0.0384885,0.031685595,0.029032766,0.015985279,0.004422329,0.001729559,0.001943351,2007,NBS
X77,0,0.308583727,0.216463112,0.066522911,0.073509868,0.074738092,0.086896295,0.034755059,0.077688132,0.037403957,0.013205394,0.005742824,0.004490628,2008,NBS
X78,0,0.831810702,0.035189017,0.02245276,0.014558844,0.01491395,0.020439565,0.017538184,0.02829406,0.008672437,0.003655194,0.001496703,0.000978584,2009,NBS
X79,0,0.197993766,0.232483035,0.056063762,0.099605711,0.08634554,0.085379618,0.065301607,0.112021149,0.043518811,0.013343287,0.00694619,0.000997524,2010,NBS
X80,0.001853457,0.558732449,0.039641636,0.089665197,0.051521937,0.102877793,0.076154249,0.026910827,0.030751322,0.012027947,0.00617239,0.002177294,0.001513501,2011,NBS
X81,0,0.398725204,0.126886716,0.024554168,0.162852329,0.106368445,0.107061833,0.032549135,0.023400271,0.013295601,0.003004736,0.000485038,0.000816523,2012,NBS
X82,0,0.143354933,0.176561752,0.113959594,0.11840997,0.226670705,0.152259321,0.039632201,0.02257935,0.004459234,0.00075777,0.000630035,0.000725133,2013,NBS
X83,0,0.344367624,0.18906409,0.12135115,0.160612347,0.074817775,0.076079803,0.022466126,0.007152124,0.001922989,0.001245788,7.55E-05,0.000844692,2014,NBS
X84,0,0.071455526,0.329318001,0.142146256,0.234480981,0.146468871,0.039388469,0.026376878,0.008400918,0.001099642,0.000461167,0.000120287,0.000283003,2015,NBS
X85,0,0.034904424,0.07399434,0.278982139,0.254106182,0.247375245,0.080868524,0.019959769,0.00741324,0.001698872,0.000456124,0.000160418,8.07E-05,2016,NBS
X86,3.41E-06,0.048806873,0.16408721,0.117225338,0.288103615,0.239647736,0.098739847,0.034124986,0.005665349,0.002603179,0.00041932,0.000189348,0.000383788,2017,NBS
X87,1.50E-05,0.046076616,0.072547106,0.226134628,0.176581207,0.352382195,0.098182705,0.024700802,0.001812965,0.001096147,0.000232622,3.39E-05,0.000204135,2018,NBS
X88,0,0.333891421,0.121478123,0.100781411,0.130681824,0.115681936,0.145023849,0.042044266,0.007277174,0.001627861,0.000300692,6.82E-05,0.001143282,2019,NBS
X89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NBS
X90,0.003373093,0.090412971,0.098665566,0.279639797,0.230398773,0.096268849,0.09962187,0.064233598,0.027065067,0.008383725,0.000730033,0.000321045,0.000885615,2021,NBS
X91,0.000274823,0.13565419,0.10970707,0.164444777,0.379044556,0.082759436,0.055194347,0.039593049,0.024503661,0.006016931,0.001572013,0.000508944,0.000726203,2022,NBS
X92,0,0.197303756,0.206703237,0.093329468,0.238568929,0.162317268,0.044986149,0.030754707,0.018876455,0.00403864,0.002308664,0.000364172,0.000448554,2023,NBS
X93,0.000231546,0.16276546,0.170199923,0.124216665,0.187829033,0.142583043,0.107367123,0.060959409,0.028493003,0.009238472,0.003116776,0.001352757,0.00164679,2024,NBS
